file_suffix,pesq_noisy,pesq_enhanced,pesq_gain,stoi_noisy,stoi_enhanced,stoi_gain,pesq_mean,stoi_mean
0_0.wav,2.8994226455688477,2.3481175899505615,-0.5513050556182861,0.8986059598192546,0.876399163436236,-0.02220679638301859,,
0_1.wav,3.0985846519470215,2.0605404376983643,-1.0380442142486572,0.955263646149009,0.9273435618272472,-0.02792008432176185,,
0_10.wav,1.420339584350586,1.7491141557693481,0.3287745714187622,0.9072330740291621,0.8672346811020014,-0.039998392927160675,,
0_11.wav,1.2625974416732788,1.3927831649780273,0.13018572330474854,0.846528296643223,0.8330413911788374,-0.01348690546438569,,
0_12.wav,3.6112070083618164,1.8376749753952026,-1.7735320329666138,0.9845143583503173,0.9334207997594081,-0.05109355859090925,,
0_13.wav,3.6663291454315186,2.725087881088257,-0.9412412643432617,0.9676527473924749,0.9057809478274471,-0.06187179956502775,,
0_14.wav,2.8944873809814453,2.372201442718506,-0.5222859382629395,0.9856181925942415,0.9556857461370387,-0.029932446457202833,,
0_15.wav,2.397766351699829,2.2146177291870117,-0.18314862251281738,0.9414040004469133,0.9108969428436188,-0.03050705760329453,,
0_16.wav,3.2094881534576416,2.3781235218048096,-0.831364631652832,0.947208075230089,0.9263787386805872,-0.02082933654950181,,
0_17.wav,3.0397238731384277,2.6916708946228027,-0.348052978515625,0.9597321399833564,0.9230822545800329,-0.03664988540332348,,
0_18.wav,1.9304773807525635,2.2749829292297363,0.34450554847717285,0.9483570569670644,0.9394313877859567,-0.00892566918110771,,
0_19.wav,1.4031882286071777,1.8398823738098145,0.4366941452026367,0.9334078817479383,0.9326213349993371,-0.0007865467486012356,,
0_2.wav,2.721378803253174,2.0882904529571533,-0.6330883502960205,0.9301644655484305,0.9103105520782516,-0.01985391347017884,,
0_20.wav,3.8012242317199707,2.4890966415405273,-1.3121275901794434,0.9944819110890746,0.9527174728345732,-0.04176443825450138,,
0_21.wav,2.912722110748291,2.7677102088928223,-0.14501190185546875,0.9741109419152193,0.9602457896845148,-0.013865152230704503,,
0_22.wav,3.096611499786377,2.6349713802337646,-0.4616401195526123,0.9720182842107454,0.93457911378066,-0.03743917043008538,,
0_23.wav,1.4654839038848877,1.6995904445648193,0.23410654067993164,0.8234611207966428,0.8135050549167379,-0.00995606587990494,,
0_24.wav,2.2193562984466553,2.2335848808288574,0.014228582382202148,0.987012110568767,0.9706217270119195,-0.01639038355684752,,
0_25.wav,2.5153865814208984,2.4121994972229004,-0.10318708419799805,0.993511348424375,0.9663651558088715,-0.02714619261550355,,
0_26.wav,1.530794382095337,2.0820934772491455,0.5512990951538086,0.8526157336510783,0.8643347650075587,0.011719031356480336,,
0_27.wav,1.134948492050171,1.3282358646392822,0.19328737258911133,0.7727967585953207,0.8119088718562815,0.03911211326096076,,
0_28.wav,2.389435052871704,2.483126163482666,0.09369111061096191,0.8460836610721362,0.8271377940145553,-0.018945867057580834,,
0_29.wav,1.3860357999801636,1.821371078491211,0.43533527851104736,0.8642265864065575,0.871621145597994,0.0073945591914365005,,
0_3.wav,1.260554552078247,1.327591896057129,0.06703734397888184,0.7790991009287104,0.792181865360962,0.013082764432251648,,
0_30.wav,1.709947109222412,2.1755754947662354,0.46562838554382324,0.9636278519611788,0.9445378354610242,-0.019090016500154627,,
0_31.wav,1.216444969177246,1.4692835807800293,0.2528386116027832,0.8483111744662296,0.8553437449346946,0.007032570468464949,,
0_4.wav,2.3068130016326904,2.418036699295044,0.11122369766235352,0.9296195681912404,0.9072588820975318,-0.02236068609370856,,
0_5.wav,1.6832520961761475,1.9419169425964355,0.2586648464202881,0.8869699912100202,0.8730802479270618,-0.013889743282958333,,
0_6.wav,1.8019435405731201,2.1796936988830566,0.3777501583099365,0.9194216711210994,0.8932248484201397,-0.026196822700959688,,
0_7.wav,1.2291752099990845,1.602998971939087,0.37382376194000244,0.816069411965922,0.8573363996709134,0.041266987704991376,,
0_8.wav,2.9352030754089355,2.0779473781585693,-0.8572556972503662,0.9399833772930396,0.900175389182266,-0.03980798811077357,,
0_9.wav,2.076211452484131,1.763434886932373,-0.3127765655517578,0.9253890187777042,0.8884074651876414,-0.03698155359006283,,
10_0.wav,3.623703718185425,2.6465415954589844,-0.9771621227264404,0.9965881851154056,0.9636279070269512,-0.032960278088454364,,
10_1.wav,2.485341787338257,2.3895277976989746,-0.09581398963928223,0.9929741804107947,0.9629931265488273,-0.029981053861967366,,
10_10.wav,1.6481860876083374,1.713155746459961,0.06496965885162354,0.9327977440160041,0.9040582925624364,-0.02873945145356771,,
10_11.wav,1.3687564134597778,1.579193353652954,0.21043694019317627,0.9193949886283934,0.9071211629393358,-0.01227382568905766,,
10_12.wav,4.51236629486084,2.5008089542388916,-2.0115573406219482,0.9984362155435311,0.9411047199611655,-0.05733149558236561,,
10_13.wav,3.1932249069213867,2.363980293273926,-0.8292446136474609,0.9737659485147625,0.9519293219370809,-0.021836626577681595,,
10_14.wav,2.7567267417907715,2.496433973312378,-0.26029276847839355,0.9870169603122477,0.9842904960802679,-0.0027264642319798638,,
10_15.wav,2.4510021209716797,2.0486581325531006,-0.4023439884185791,0.9949673919813851,0.9819901067098152,-0.012977285271569827,,
10_16.wav,2.7428183555603027,2.981468677520752,0.23865032196044922,0.8701728981129544,0.8567415397170982,-0.013431358395856186,,
10_17.wav,2.1578683853149414,2.3087079524993896,0.15083956718444824,0.9719279114263861,0.9529196148158169,-0.019008296610569242,,
10_18.wav,1.6561540365219116,1.9988350868225098,0.34268105030059814,0.9098349248247463,0.9019676451316171,-0.00786727969312917,,
